#
1טער קאפיטעל	CHAPTER I .
אן דעם פאלען פון רי קיילעסלעך איז אבהענגיג געווען א גרויספערמעגען און אמאל אויך דאס לעבען פון א מענשען .	There too , very near the fair countess , was a respectable London tradesman , blonde and soft-handed , his sleek hair scrupulously parted behind and before , conscious of circulars addressed to the nobility and gentry , whose distinguished patronage enabled him to take his holidays fashionably , and to a certain extent in their distinguished company .
איז עס גוט געפאלען ,האט רער שפילער געוואונען און אין א מינוט געווארען אן עושר ; איז עסשלעכט אויסגעפאלען , איז א גאנץ פערמעגען פערלארען געגאנגען און אזדער שפילער האט זיך דאס שטארק צום הארץ גענומען איז ער גאר אוועקאון אריינגעשאסען זיך א קויל אין קאפ אריין .	Not his gambler 's passion that nullifies appetite , but a well-fed leisure , which , in the intervals of winning money in business and spending it showily , sees no better resource than winning money in play and spending it yet more showily -- reflecting always that Providence had never manifested any disapprobation of his amusement , and dispassionate enough to leave off if the sweetness of winning much and seeing others lose had turned to the sourness of losing much and seeing others win . For the vice of gambling lay in losing money at it .
	In his bearing there might be something of the tradesman , but in his pleasures he was fit to rank with the owners of the oldest titles .
	Standing close to his chair was a handsome Italian , calm , statuesque , reaching across him to place the first pile of napoleons from a new bagful just brought him by an envoy with a scrolled mustache .
	The pile was in half a minute pushed over to an old bewigged woman with eye-glasses pinching her nose .
	There was a slight gleam , a faint mumbling smile about the lips of the old woman ; but the statuesque Italian remained impassive , and -- probably secure in an infallible system which placed his foot on the neck of chance -- immediately prepared a new pile .
	So did a man with the air of an emaciated beau or worn-out libertine , who looked at life through one eye-glass , and held out his hand tremulously when he asked for change .
	It could surely be no severity of system , but rather some dream of white crows , or the induction that the eighth of the month was lucky , which inspired the fierce yet tottering impulsiveness of his play .
#
די מענשען ארום טיש זיינען געשטאנען קאפ אויף קאפ , אין דער גרעסטערענגשאפט . אלעמענס אויגען האבען געברענט אוןגעפלאמט ווי ביי הונגעריגע וועלף , יערער איז געשטאנען אנגעשטרענגט , מיטשרעק און גרויס ציטער נאכגעקוקט די קיילכלעך , ווי זיי דרעהען זיך , אוןגעוואלט איינשלינגען די קופעס גאלדשטיקער .	But , while every single player differed markedly from every other , there was a certain uniform negativeness of expression which had the effect of a mask -- as if they had all eaten of some root that for the time compelled the brains of each to the same narrow monotony of action .
#
קיין זאך איז זיי אין זין מעהר נישט געלעגען .	Deronda 's first thought when his eyes fell on this scene of dull , gas-poisoned absorption , was that the gambling of Spanish shepherd-boys had seemed to him more enviable : -- so far Rousseau might be justified in maintaining that art and science had done a poor service to mankind .
זיי האבען אן דער גאנצערוועלט פערגעסען .	But suddenly he felt the moment become dramatic . His attention was arrested by a young lady who , standing at an angle not far from him , was the last to whom his eyes traveled .
נאר איין זאך האט זיי אינסערעסירט — דאס גאלד . .	She was bending and speaking English to a middle-aged lady seated at play beside her : but the next instant she returned to her play , and showed the full height of a graceful figure , with a face which might possibly be looked at without admiration , but could hardly be passed with indifference .
.	
#
דניאל דעראנדא , א יונגער , שעהן געבויטער מאן מיט א קאפ שווארצעהאר , פון אן איידעלען , אריסטאקראטישען אויסזעהן איז געזעס|עןן אן אזייט .	The inward debate which she raised in Deronda gave to his eyes a growing expression of scrutiny , tending farther and farther away from the glow of mingled undefined sensibilities forming admiration .
ער האט קיין אנטייל ניט גענומען אין שפיעלען , נאר ער איזגעזעסען , בעטראכט אלץ וואס קומט דא פאר און בעדויערט די מענשען וואסזיינען אזוי נאריש , אזוי שלעכט , וואס קיין זאך עקזיסטירט ניט פארזיי , נאר דאס יאגען זיך נאך גאלד , עפעס ווי בהמות , וואס ווייסעןניט מעהר ווי זייער קארעטע . .	At one moment they followed the movements of the figure , of the arms and hands , as this problematic sylph bent forward to deposit her stake with an air of firm choice ; and the next they returned to the face which , at present unaffected by beholders , was directed steadily toward the game . The sylph was a winner ; and as her taper fingers , delicately gloved in pale-gray , were adjusting the coins which had been pushed toward her in order to pass them back again to the winning point , she looked round her with a survey too markedly cold and neutral not to have in it a little of that nature which we call art concealing an inward exultation .
.	
#
פלוצלונג האט ער צווישען די שפילער דערזעהן א יונג , שעהן מיידעל ,וואס איז געשטאנען אין עק טיש און גערעדט מיט אן עלטערע דאמע .	But in the course of that survey her eyes met Deronda 's , and instead of averting them as she would have desired to do , she was unpleasantly conscious that they were arrested -- how long ? The darting sense that he was measuring her and looking down on her as an inferior , that he was of different quality from the human dross around her , that he felt himself in a region outside and above her , and was examining her as a specimen of a lower order , roused a tingling resentment which stretched the moment with conflict .
מיט'ןערשטען בליק האט זי איהם צו זיך צוגעצויגען און ער האט שוין ניט געקענטדי אויגען פון איהר אראפנעמען .	It did not bring the blood to her cheeks , but it sent it away from her lips . She controlled herself by the help of an inward defiance , and without other sign of emotion than this lip-paleness turned to her play .
דאס מיידעל האט אויך געשפיעלט אוןגעהאלטען אין איין געווינען .	But Deronda 's gaze seemed to have acted as an evil eye . Her stake was gone .
גאנצע אוצרות געלד האט זי צוגעשארט איינסנאך דאס אנדערע .	No matter ; she had been winning ever since she took to roulette with a few napoleons at command , and had a considerable reserve . She had begun to believe in her luck , others had begun to believe in it : she had visions of being followed by a _cortège_ who would worship her as a goddess of luck and watch her play as a directing augury .
און בויגענדיג זיך צו נעהמען די גאלד - שטיקער האט זילייכט און רוהינ זיך ארומגעקוקט און עס האט אויסגעזעהן , ווי דאס גאנצעגעוואונענע געלד האט אייגענטליך אויף איהר קיין איינדרוק ניט געמאכט .	Such things had been known of male gamblers ; why should not a woman have a like supremacy ? Her friend and chaperon who had not wished her to play at first was beginning to approve , only administering the prudent advice to stop at the right moment and carry money back to England -- advice to which Gwendolen had replied that she cared for the excitement of play , not the winnings .
אין דעם האבען זיך איהרע אויגען בענעבענט מיט רעראנדא'ן .	On that supposition the present moment ought to have made the flood-tide in her eager experience of gambling .
זי האט שויןדי גאנצע צייט געפיהלט , אז ער קוקט אויף איהר און נעמט זי אין גאנצעןדורך .	Yet , when her next stake was swept away , she felt the orbits of her eyes getting hot , and the certainty she had ( without looking ) of that man still watching her was something like a pressure which begins to be torturing .
וואס וויל ער  ?	The more reason to her why she should not flinch , but go on playing as if she were indifferent to loss or gain .
וואס קוקט ער אזוי  ?	Her friend touched her elbow and proposed that they should quit the table .
— האט זי פערדראסען — ערמיינט אודאי , אז זי איז אזא געלד דירשטיגע , ווי רי אלע איבריגע ; ערהאלט זי געוויס פאר איינע פון די אלע דא .	For reply Gwendolen put ten louis on the same spot : she was in that mood of defiance in which the mind loses sight of any end beyond the satisfaction of enraged resistance ; and with the puerile stupidity of a dominant impulse includes luck among its objects of defiance . Since she was not winning strikingly , the next best thing was to lose strikingly .
זי איז בלאס געווארען .	She controlled her muscles , and showed no tremor of mouth or hands . Each time her stake was swept off she doubled it .
עסקאט איהר וועה געטאן , זי מיינט דאך גאר ניט דאס געלד .	Many were now watching her , but the sole observation she was conscious of was Deronda 's , who , though she never looked toward him , she was sure had not moved away . Such a drama takes no long while to play out : development and catastrophe can often be measured by nothing clumsier than the moment-hand .
זי וויל גארניט געווינען , אט נאר די צייט צו פערטרייבען .	`` Faites votre jeu , mesdames et messieurs , '' said the automatic voice of destiny from between the mustache and imperial of the croupier : and Gwendolen 's arm was stretched to deposit her last poor heap of napoleons . `` Le jeu ne va plus , '' said destiny .
אז רעראנדא האט אלץגעהאלטען אין איין דורכנעהמען זי מיט זיינע שארפע , ברענענדע אויגען ,האט זי זיך געוואלט מאכען ווי זי בעמערקט דאסגאר ניט און מיט נאך מעהר פייער אנגעהויבען שפילען .	And in five seconds Gwendolen turned from the table , but turned resolutely with her face toward Deronda and looked at him . There was a smile of irony in his eyes as their glances met ; but it was at least better that he should have disregarded her as one of an insect swarm who had no individual physiognomy .
און דא האט זיךדאס רעדעל א דרעה געטהון , עס האט איהר אויפגעהערט צו געהן און זי האטפערלוירען איינס נאך דאס אנדערע .	Besides , in spite of his superciliousness and irony , it was difficult to believe that he did not admire her spirit as well as her person : he was young , handsome , distinguished in appearance -- not one of these ridiculous and dowdy Philistines who thought it incumbent on them to blight the gaming-table with a sour look of protest as they passed by it .
עס האט זי אבער גאר ניט געארט . זיהאט ראך דא געמאכט א גרויס פערמעגען , מעג זי אביסעל פערשפילען .	The general conviction that we are admirable does not easily give way before a single negative ; rather when any of Vanity 's large family , male or female , find their performance received coldly , they are apt to believe that a little more of it will win over the unaccountable dissident .
דיעלטערע דאמע , וואס איז נעבען איהר געזעסען , האט אבע'ר ניט געוואלט ,אז זי זאל צוריק פערשפיעלען און האט איהר שטיל געזאגט אין ענגליש  :ג|יווענדאליז , מאך א סוף , הער אויף שפילען , לאמיר פאהרען אהיים .	In Gwendolen 's habits of mind it had been taken for granted that she knew what was admirable and that she herself was admired . This basis of her thinking had received a disagreeable concussion , and reeled a little , but was not easily to be overthrown .
#
— איך וויל ניט , — האט גווענדאלין געענטפערט , — מען מוז דען נארגעווינען . איך בין ניט געקומען רייך ווערען , איך וויל שפילען .	In the evening the same room was more stiflingly heated , was brilliant with gas and with the costumes of ladies who floated their trains along it or were seated on the ottomans .
#
אז גווענדאלין האט אבער געהאלטען אין איין פערשפיעלען , איז איהרשוין אליין אויך א שאד געווען דאס געלד און זי האט געוואלטאויפהערען .	The Nereid in sea-green robes and silver ornaments , with a pale sea-green feather fastened in silver falling backward over her green hat and light brown hair , was Gwendolen Harleth .
האט זי אבער נאך אלץ געפיהלט אויף זיך רעראנדא'ס אויגעןאון אום ער זאל ניט מיינען , אז דאס געלד איז איהר א שאד האט זיווייטער געשפיעלט .	She was under the wing , or rather soared by the shoulder , of the lady who had sat by her at the roulette-table ; and with them was a gentleman with a white mustache and clipped hair : solid-browed , stiff and German . They were walking about or standing to chat with acquaintances , and Gwendolen was much observed by the seated groups .
#
— הער דאך שוין אויף , גווענדאלין , — האט די עלטערע דאמע זי געבעטען .	`` A striking girl -- that Miss Harleth -- unlike others . ``
#
— לאזט מיך , — האט זי ניט געוואלט הערען און פאר כעס איינגעשטעלט נאךגרעסערע טומען און אלץ מעהר פערלארען .	`` Yes , she has got herself up as a sort of serpent now -- all green and silver , and winds her neck about a little more than usual . ``
#
אלע ארום האבען אויף איהר געקוקט און זיך געוואונדערט , וואס זיווארפט אזוי מיט'ן געלד .	`` Oh , she must always be doing something extraordinary . She is that kind of girl , I fancy .
עס האט אבער זי גאר ניט גע . ארט .	Do you think her pretty , Mr .
נאר דעריונגערמאן , וואס קוקט אזוי אויף איהר , וואס וויל ער  ?	Vandernoodt ? ``
#
אז ס'איז איהר שוין מעהר ניט געבליבען ווי עטליכע גאלדשטיק האט זיאויפגעהערט און איז אוועק פון טיש .	`` Very .
זי האט זיך אומגעקעהרט צורעראנדא'ן און דערזעהן אויף זיין פנים א לייכטען , שפאטישען שמייכעל .	A man might risk hanging for her -- I mean a fool might . ``
#
— הייסט עס , אז ער האלט פון איהר גלייך ווי פון די אנדערע , — האט זיזיך געטראכט מיט וועטהאג , — ער האט דאך אבער געזעהן , ווי געלד שפילטביי איהר קיין ראלע ניט .	`` You like a _nez retroussé_ , then , and long narrow eyes ?
ניין , ער פערשטעהט זי יא , ער ווייס , אז זי איזניט גאלד דורשטיג .	``
#
— נא , — האט זי בעשלאסען , — איך וועל איהם בעזיעגען .	
.	
.	
דער עולם האט זיך צוטיילט אויף גרופען , א טחייל איז געזעסען , אנדערעהאבען שפאציערט .	
די לאמפען האבען געגאסען ליכטיגקייט ארום אוןארום .	
יונגע מיידלאך און דאמען אין בריליאנטען און דימאנטען האבען דיאויגען געבלענדעט .	
גווענדאלין איז אלץ געשטאנען נעבען דער עלטערערדאמע און מיט איהר גערעדט .	
זי איז געגאנגען אנגעטהון אין א גרין ,זיידען קלייד מיט זילבער שפרענקלעך , א קליין , גרין היטעלע מיט אזילבער - באנד ארומגעשלייפט , פון וועלכען איהרע שעהנע , שווארצע הארהאבען אזוי בולט ארויסגעקוקט . באלד איז צו זיי צוגעקומען אמיטעליעהריגער מאן , א דייטש , קורץ געשוירען , מיט שווארצע וואנסען .	`` When they go with such an _ensemble_ .
האבען זיי זיך אויפגעהויבען און אנגעהויבען שפאצירען רעדענדיג צווישעןזיך . די אויגען פון אלע פערזאמעלטע זיינען געווען אנגעשטעלט אויףגווענדאלין .	``
#
— א וואונדערבארע מיידעל איז די גווענדאלין הערליט , — האט איינערגעזאגט . — אין גרינעם קלייד מיט די זילבער שפרענקלעך זעהט זי אויס וויא שטאלצע שלאנג .	`` The _ensemble du serpent_ ?
און זעהט נאר ווי זי געהט דאס מיט אןאויפגעהויבענעם קאפ  !	``
#
— די מיידעל האט תמיד ליעב פראווען שטיק .	`` If you will .
געפעלט זי אייך , הערדוואנדערנוט  ?	Woman was tempted by a serpent ; why not man ? ``
#
— א , זעלטען , זי איז אן אויסערגעוועהנליכע שעהנהייט .	`` She is certainly very graceful ; but she wants a tinge of color in her cheeks . It is a sort of Lamia beauty she has .
	``
#
ווייס איך וואס , — האט א באראנעסע , אן אלמנה זיך אנגערופען — זיאיז גאר ניט שעהן , זי איז אהן זאלץ .	`` On the contrary , I think her complexion one of her chief charms . It is a warm paleness ; it looks thoroughly healthy .
קענט איהר אפשר דעם הערד לאנגעןאון זיין פרוי  ?	And that delicate nose with its gradual little upward curve is distracting .
מיט זיי איז דאך די הערליט געקומען .	And then her mouth -- there never was a prettier mouth , the lips curled backward so finely , eh , Mackworth ? ``
#
— א יא , זיי זיינען זעלטען אנגענעהמע מענשען .	`` Think so ? I can not endure that sort of mouth .
איך האב מיט זיי עטליכעמאל מיטאג געגעסען אין גרויסען רעסטאראן . די דאמע קומט פון ענגלאנדאון די הערליט רופט זי „ קוזינע“ .	It looks so self-complacent , as if it knew its own beauty -- the curves are too immovable .
ווייסט איהר אויך , די מיידעל איז אגאנץ פיינע און געבילדעטע .	I like a mouth that trembles more . ``
#
— אזוי , איך האב גאר ניט געוואוסט , — האט רי אלמנה ווייטער גערעדט .	`` For my part , I think her odious , '' said a dowager . `` It is wonderful what unpleasant girls get into vogue .
—און וואס טהוט דער הערד לאנגען  ?	Who are these Langens ? Does anybody know them ?
	``
#
	`` They are quite _comme il faut_ .
	I have dined with them several times at the _Russie_ .
	The baroness is English .
— ער פאהרט מיט זיי מיט , ער בעגלייט זיי .	Miss Harleth calls her cousin . The girl herself is thoroughly well-bred , and as clever as possible .
	``
#
— איהר ווייסט , דאס מיידעל ה .	`` Dear me !
אט פערשפיעלט א שלל גאלד , — זיינען זייטאקי אזוי רייך  ? — ווער ווייסט  ?	and the baron ?
— האט וואנדערנוט געענטפערט און אוועק אהין וואוגווענדאלין מיט איהרע צוויי בעגלייטער זיינען געשטאנען .	`` .
#
— הער וואנדערנוט , — האט גווענדאלין געזאגט רוהיג , ניט  . ארויסווייזענדיג איהר פערלעגענהייט , — איהר קענט דאך דא אלעמען , זאגטמיר , ווער איז דער , וועלכער שטעהט ביי דער טהיר , דער שרעקליכער יונגערמאן מיט די שווארצע האר  ?	`` A very good furniture picture . ``
#
— א שרעקליכער  ? — האט וואנדערנוט געענטפערט , — איך מיין , אז ער איזדער שעהנסטער און פראכטפולסטער פון אלע יונגע לייט .	`` Your baroness is always at the roulette-table , '' said Mackworth . `` I fancy she has taught the girl to gamble .
	``
#
— ווער איז ער  ?	`` Oh , the old woman plays a very sober game ; drops a ten-franc piece here and there . The girl is more headlong .
	But it is only a freak .
	``
#
— ער איז געקומען מיט סער הונט מאלאנזשער .	`` I hear she has lost all her winnings to-day . Are they rich ?
זיי שטעהען איין מיט אונז איןאיין האטעל .	Who knows ? ``
#
— מיט סער מאלענזשער  ?	`` Ah , who knows ? Who knows that about anybody ?
— האט גווענדאלין געפרעגט .	`` said Mr. Vandernoodt , moving off to join the Langens .
#
— יא , איהר קענט דען איהם  ?	The remark that Gwendolen wound her neck about more than usual this evening was true . But it was not that she might carry out the serpent idea more completely : it was that she watched for any chance of seeing Deronda , so that she might inquire about this stranger , under whose measuring gaze she was still wincing .
	At last her opportunity came .
#
— ניין , — האט זי געענטפערט ווערענדיג רויט . — איך ווייס נאר , אז ערהאט גיטער ניט ווייט פון אונז .	`` Mr. Vandernoodt , you know everybody , '' said Gwendolen , not too eagerly , rather with a certain languor of utterance which she sometimes gave to her clear soprano .
ער קומט אבער קיינמאל ניט אין זיינעגיטער . ווי הייסט דער יונגערמאן  ?	`` Who is that near the door ?
— א שעהנער נאמען . ער איז אן ענגלענדער  ?	``
#
— א , יא , ער איז א קרוב צו סער הונא מאלענזשער .	`` There are half a dozen near the door .
ער האט אייך אזויפעראינטערעסירט  ?	Do you mean that old Adonis in the George the Fourth wig ? ``
#
— יא , ער אינטערעסירט מיר . עפעס איז ער אנדערש ווי אלע אנדערע .	`` No , no ; the dark-haired young man on the right with the dreadful expression . ``
#
— נו , און די אנדערע יונגע לייט אינטערעסירען אייך ניט  ?	`` Dreadful , do you call it ? I think he is an uncommonly fine fellow .
	``
#
— ניין , איך ווייס פריהער וואס זיי וועלען מיר זאגען . זעהט איהר ,דעראנדא איז עפעס אנדערש .	`` But who is he ?
וואס פאר א מענש איז ער  ?	``
#
— א שטילער , א צוריקגעהאלטענער , רעדט וועניג . איך בין נעכטען מיט איהםגעזעסען אין איינעם און ער האט קיין ווארט ניט אויסגערעדט .	`` He is lately come to our hotel with Sir Hugo Mallinger .
ער איז עפעסאומעטיג .	``
#
— אויב אזוי , — האט גווענדאלין געזאגט , — וויל איך איהם קענען , מיראיז אויך לאנגווייליג און אומעטיג .	`` Sir Hugo Mallinger ? ``
#
— איהר ווילט איהם קענען  ?	`` Yes .
ער וועט זיך פיהלען גליקליך אריינצוקומען צואייך .	Do you know him ?
— מאדאם — האט וואנדערנוט זיך געווענדעט צו פרוי לאנגען — אויב איהרבעפעהלט , ברענג איך איהם צו אייך אין הויז .	``
#
	`` No .
— פיין , אדרבה , ער איז ראך סער הוגא מאלענדזשער'ס א קרוג .	`` ( Gwendolen colored slightly . ) `` He has a place near us , but he never comes to it .
מיין הויזאיז תמיד אפען פאר איהם .	What did you say was the name of that gentleman near the door ? ``
#
אז וואנדערנוט איז אוועק האט פרוי לאנגען געפרעגט ג .	`` Deronda -- Mr .
ווענדאלינען :	Deronda . ``
#
— וואס איז דיר טאקי אזוי לאנגווייליג  ?	`` What a delightful name !
האסט דאך א גאנצען טאגגעשפיעלט  ?	Is he an Englishman ? ``
#
— אט דערפאר טאקי ווייל עס איז מיר לאנגווייליג האב איך געשפיעלט .	`` Yes . He is reported to be rather closely related to the baronet .
אוי , ווי מיר איז לאנגווייליג  !	You are interested in him ?
מיר וועלען מוזען ערגעץ אוועקפאהרען .	``
#
— .	`` Yes .
- זאל נאר קומען דעראנדא , אפשר וועט ער דיך אינטערעסירען , וועט מעןפערשפארען פאהרען — האט פרוי לאנגען געענטפערט .	I think he is not like young men in general . ``
#
— אפשר .	`` And you do n't admire young men in general ? ``
#
דניאל דעראנדא איז אבער דאס מאל נישט געקומען .	`` Not in the least .
גווענדאלין האט איהםיענעם אבענד נישט געזעהן .	I always know what they will say .
שפעטער אז גווענדאלין איז געקומען אהיים צוזיך אין צימער , האט זי געפונען פאר זיך א גרויסען בריעף בעשריבען פוןאלע זייטען .	I ca n't at all guess what this Mr. Deronda would say .
און דער גריעף האט געמאכט א גאנצע איבערקעהרעניש איןאיהרע פלענער .	What _does_ he say ?
דער בריעף , וואס גווענדאלין האט געפונען ביי זיך אין צימער , איז געוועןפון איהר מוטער .	``
#
„ ליעבע טאכטער , — האט די מוטער געשריבען , — גאנצע אכט טאג האב איךגעווארט אויף א בריעף פון דיר און מען הערט נישט און מען זעהט נישט . איןדיין לעצטען גריעף שרייבסטו , אז הערד לאנגען מיט זיין פרוי פאהרען נאךבארען .	`` Nothing , chiefly .
פארוואס שרייבסטו מיר נישט וואו דו ביזט פאר וואס ליעג איך דירגאר נישט אין זינען  ? איך געה ארום אין איין שרעק , ווער ווייס אויב דווועסט כאטש בעקומען מיין גריעף .	I sat with his party for a good hour last night on the terrace , and he never spoke -- and was not smoking either .
גאט אין הימעל  !	
איך קעןמיר קיין ארט נישט געפינען פאר בענקשאפט . געדענק , מיין קינד , האסטדאך מיר צוגעזאגט אהיים צו קומען סוף סעפטעמבער .	He looked bored .
איך בעשווער דיך בייאלעם הייליגען , דו זאלסט די מינוט אהיים פאהרען . קיין איין טאגזאלסט דו נישט בלייבען .	``
#
„ אויב דאס גאנצע געלד איז דיר אוועקגעגאנגען איז זעהר שלעכט .	`` Another reason why I should like to know him .
איך קעןדיר מעהר נישט שיקען , און ביי הערד לאנגען זאלסטו אויך נישט נעהמען .	I am always bored .
איךהאב נישט אבצוגעבען .	``
#
„ אוי , וואס פאר א שרעקליך אונגליק איז אונז געשעהן  ! אייגענטליך , וואספערשטעהסטו , קינד , אין דעם  ?	`` I should think he would be charmed to have an introduction .
געלד זאכען זיינען דיר קיינמאל אין זינעןנישט געלעגען . די געשעפטען האבען דיך גארנישט געארט .	Shall I bring it about ?
גלויב מיר ,טהייערע טאכטער , איך וואלט בעסער מיין לעבען אוועקגעגעבען און נישטגעוואלט יסורים דיר פערשאפען מיט דער שלעכטער בשורה .	Will you allow it , baroness ?
איך קען זיך אבערנישט העלפען , דו מוזט אלץ וויסען .	``
#
„ דער באנקיר גראפענעל האט באנקראטירט אויף א גאנצען מיליאן . אלעגעלדער וואס זיינען ביי איהם געלעגען זיינען פערלוירען .	`` Why not ? -- since he is related to Sir Hugo Mallinger .
אונזער גאנץפערמעגען איז געווען אין זיינע הענד און מיר זיינען יעצט אין א גרויסעצרה . דעם פעטער גאסקויז'ס געלד איז אויך פערלארען , נאר מיט איהם איזנישט אזא זארג .	It is a new _rôle_ of yours , Gwendolen , to be always bored , '' continued Madame von Langen , when Mr. Vandernoodt had moved away .
ער איז דאך אויף א שטעל און האט שעהן פרנסה .	
אז ערוועט נאך פערקויפען זיין שטאל פערד און האלטען אביסעל וועניגערמשרתים , קען ער גאר ברייט לעבען . מיר אבער , מיין קינד , מיר זיינעןפערלוירען .	`` Until now you have always seemed eager about something from morning till night .
מיר זיינען איבערגעבליבען אזוי ווי מיר שטעהן און געהן , אהןא פרוטה ביי דער נשמה . דאס גאנצע געלד , וואס איז פון טאטעז'ס ירושהגעבליבען , איז נישטא .	``
#
	`` That is just because I am bored to death .
„ זעהסטו , ווען דו ביזט אוועקגעפאהרען איז אלץ געווען גוט און פיין אוןפלוצלונג אזא אונגליק .	If I am to leave off play I must break my arm or my collar-bone . I must make something happen ; unless you will go into Switzerland and take me up the Matterhorn .
	``
#
„ גלויב מיר , מיין קינד , אז דאס הארץ צוגעהט אין מיר פאר וועהטאג ,וואס איך פערשאף דיר יסורים , איך קען זיך אבער נישט העלפען , דו מוזט עסוויסען , עס זאל נישט זיין פאר דיר אוגערווארטעט , זאלסט זיך קענעןפארבערייטען פאר דער שלעכטער צייט . אונזער לעבען איז איצט גאר אנדערשאון ווער ווייס וואס אונזדערווארט נאך .	`` Perhaps this Mr. Deronda 's acquaintance will do instead of the Matterhorn .
אפשר וועלען מיר זיך מוזען ארויסקלייבען פון אפענדעןאון זוכען גליק ערגעץ אנדערש . .	``
.	
#
„ צום פעטער גאסקוין קען מען נישט געהן וואוינען . עס אין ענג ביי איהם .	`` Perhaps .
מירוועלען זיך ווי עס איז דערווייל ערגעץ אין א צימער איבערקלייבען און עסעןווי די אורחים ביים פעטער , בין מיר וועלען זיך אויסזוכען א שטיקעלפרנסה . גאט זאל נאר העלפען , מיר זאלען קענען בעצאהלען אונזערע חובותאון דער הויפט אונזערע דינער .	``
#
„ נור פערלאז זיך , קינד מיינס , אויף גאט , פערליער נישט רעם מוט , פוןהימעל איז עס אזוי בעשערט , לאמיר האפען , אז אונזער מזל וועט צוריקאויפשיינען . דיינע קליינע שוועסטערלעך וויינען מיט מיר אויפ'ן אונגליק .	But Gwendolen did not make Deronda 's acquaintance on this occasion .
וואס העלפט דאס אבער  ? זעהסטו , ווען דו זאלסט באלד קומען , וואלטאונז אפשר אביסעל לייכטער געווארען , כאטש איך גלויב נישט , אז דוזאלסט קענען געהן ארבייטען .	Mr. Vandernoodt did not succeed in bringing him up to her that evening , and when she re-entered her own room she found a letter recalling her home .
#
„ אויב אר .	
לאנגען און זיין פרוי ווילען נאך פארברענגען , זאלסטו נישטווארטען אויף זיי , נאר תיכף ארויספאהרען . קום אהיים , וועסטו דערפרעהעןדאס הארץ פון דיין מאמע , וואס האט דיך ליעב , ווי איהר לעבען .	CHAPTER II .
#
פאני דאווילאו . “	This man contrives a secret 'twixt us two , That he may quell me with his meeting eyes Like one who quells a lioness at bay .
#
נווענדאלין האט איבערגעלייענט דעם גריעף און געבליבען שטעהן ווי אןאונטערגעשאסענע . ווען מען וואלט איהר מיט א שטיק אייזען איבער'ן קאפדערלאנגט , וואלט איהר מעהר נישט וועה געטהאן .	This was the letter Gwendolen found on her table : --
אזא אונגליק  !	
אזאצרה  !	
וואס וועט זי איצט טהאן	
#
	DEAREST CHILD. -- I have been expecting to hear from you for a week .
	In your last you said the Langens thought of leaving Leubronn and going to Baden .
	How could you be so thoughtless as to leave me in uncertainty about your address ?
	I am in the greatest anxiety lest this should not reach you .
